price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,effective_year
268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,98055,47.4362,-122.187,1660,9240,2015,5,1961
245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,98031,47.4034,-122.187,1720,3605,2014,7,1992
200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,98003,47.2704,-122.313,1870,7455,2015,1,1994
352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,98027,47.5321,-122.073,1240,750,2015,4,2009
232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,98042,47.3715,-122.074,1590,8071,2014,12,1994
722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,98117,47.6948,-122.395,2000,6720,2014,9,2003
299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,98155,47.7463,-122.315,1850,8291,2014,6,1951
880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,98072,47.7489,-122.123,2860,43560,2014,5,1989
175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,98001,47.3377,-122.291,1320,7920,2015,3,1967
320000,3,2.25,998,844,2.0,0,0,3,7,798,200,98117,47.6983,-122.367,998,1110,2014,5,2007
475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,98034,47.7212,-122.172,1840,8471,2014,7,1977
995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,98177,47.7764,-122.385,2520,8214,2014,11,1979
1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,98006,47.5519,-122.106,4080,12114,2014,7,1998
239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,98023,47.3127,-122.339,1990,8937,2014,5,1979
340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,98166,47.4735,-122.344,1420,8360,2015,5,1953
680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,98075,47.5961,-121.98,3210,6005,2015,2,2005
235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,98001,47.2606,-122.253,1934,5000,2015,1,2007
416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,98034,47.7188,-122.177,1650,6014,2014,11,1987
420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,98034,47.7404,-122.186,1770,8071,2014,7,1973
257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,98092,47.3126,-122.129,1650,35100,2015,2,1989
380000,0,0.0,1470,979,3.0,0,2,3,8,1470,0,98133,47.7145,-122.356,1470,1399,2015,2,2006
399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,98014,47.6907,-121.917,1860,18452,2014,8,2010
339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,98065,47.5261,-121.827,1500,4385,2015,1,1999
